출하일자,도,시군,총출하량,판매금액,총면적,식부면적,경작 평수,단위면적 당 판매금액,단위면적 당 출하량
2018-11-19,전남,보성,4.0,84000.0,1000,600.0,181.49918325367534,462.81200000000007,0.022038666666666668
2018-11-23,전남,보성,22.0,504000.0,1000,600.0,181.49918325367534,2776.8720000000003,0.12121266666666668
2018-11-26,전남,보성,21.0,401000.0,1000,600.0,181.49918325367534,2209.3763333333336,0.11570300000000001
2018-11-28,전남,보성,45.0,772000.0,1000,600.0,181.49918325367534,4253.462666666667,0.24793500000000002
2018-11-30,전남,보성,58.0,1158000.0,1000,600.0,181.49918325367534,6380.194,0.3195606666666667
2018-12-03,전남,보성,168.0,2400000.0,1000,600.0,181.49918325367534,13223.2,0.9256240000000001
2018-12-05,전남,보성,61.0,898000.0,1000,600.0,181.49918325367534,4947.680666666667,0.3360896666666667
2018-12-06,전남,보성,83.0,1399000.0,1000,600.0,181.49918325367534,7708.023666666668,0.45730233333333337
2018-12-07,전남,보성,105.0,1364500.0,1000,600.0,181.49918325367534,7517.940166666667,0.578515
2018-12-09,전남,보성,80.0,1189500.0,1000,600.0,181.49918325367534,6553.748500000001,0.44077333333333335
2018-12-10,전남,보성,101.0,1278500.0,1000,600.0,181.49918325367534,7044.108833333334,0.5564763333333334
2018-12-12,전남,보성,78.0,1390000.0,1000,600.0,181.49918325367534,7658.436666666667,0.429754
2018-12-13,전남,보성,90.0,1481000.0,1000,600.0,181.49918325367534,8159.816333333334,0.49587000000000003
2018-12-14,전남,보성,58.0,1160000.0,1000,600.0,181.49918325367534,6391.213333333334,0.3195606666666667
2018-12-16,전남,보성,104.0,1698000.0,1000,600.0,181.49918325367534,9355.414,0.5730053333333334
2018-12-17,전남,보성,87.0,1510000.0,1000,600.0,181.49918325367534,8319.596666666668,0.4793410000000001
2018-12-19,전남,보성,92.0,1832000.0,1000,600.0,181.49918325367534,10093.709333333334,0.5068893333333334
2018-12-20,전남,보성,123.0,2422500.0,1000,600.0,181.49918325367534,13347.167500000001,0.6776890000000001
2018-12-21,전남,보성,76.0,1416500.0,1000,600.0,181.49918325367534,7804.442833333334,0.4187346666666667
2018-12-23,전남,보성,112.0,1984500.0,1000,600.0,181.49918325367534,10933.933500000001,0.6170826666666668
2018-12-24,전남,보성,163.0,2120000.0,1000,600.0,181.49918325367534,11680.493333333334,0.8980756666666667
2018-12-26,전남,보성,112.0,1619500.0,1000,600.0,181.49918325367534,8922.905166666667,0.6170826666666668
2018-12-27,전남,보성,158.0,1791000.0,1000,600.0,181.49918325367534,9867.813,0.8705273333333334
2018-12-28,전남,보성,112.0,1285500.0,1000,600.0,181.49918325367534,7082.6765000000005,0.6170826666666668
2018-12-30,전남,보성,251.0,2751500.0,1000,600.0,181.49918325367534,15159.847833333335,1.3829263333333335
2019-01-02,전남,보성,62.0,988500.0,1000,600.0,181.49918325367534,5446.3055,0.34159933333333337
2019-01-03,전남,보성,90.0,1191500.0,1000,600.0,181.49918325367534,6564.767833333334,0.49587000000000003
2019-01-06,전남,보성,98.0,1441500.0,1000,600.0,181.49918325367534,7942.184500000001,0.5399473333333333
2019-01-08,전남,보성,57.0,814000.0,1000,600.0,181.49918325367534,4484.868666666667,0.314051
2019-01-10,전남,보성,86.0,1235000.0,1000,600.0,181.49918325367534,6804.438333333334,0.4738313333333334
2019-01-11,전남,보성,90.0,1156000.0,1000,600.0,181.49918325367534,6369.174666666668,0.49587000000000003
2019-01-13,전남,보성,88.0,1147000.0,1000,600.0,181.49918325367534,6319.587666666667,0.4848506666666667
2019-01-14,전남,보성,65.0,819000.0,1000,600.0,181.49918325367534,4512.417,0.3581283333333334
2019-01-16,전남,보성,123.0,1038100.0,1000,600.0,181.49918325367534,5719.584966666667,0.6776890000000001
